x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-18.13800E-03,+112.50000E-03,-500.00000E-03,-625.00000E-03,-61.25002E-03
-18.08800E-03,+5.37500000E+00,-425.00000E-03,-550.00000E-03,-30.00002E-03
-18.03800E-03,+7.75000000E+00,-262.50000E-03,-312.50000E-03,-6.25002E-03
-17.98800E-03,+7.00000000E+00,-500.00000E-03,-312.50000E-03,-13.75002E-03
-17.93800E-03,+5.52500000E+00,-425.00000E-03,-312.50000E-03,-52.50002E-03
-17.88800E-03,+8.30000000E+00,-262.50000E-03,-387.50000E-03,-70.00002E-03
-17.83800E-03,+6.18750000E+00,-425.00000E-03,-550.00000E-03,+9.99998E-03
-17.78800E-03,+2.42500000E+00,-262.50000E-03,-387.50000E-03,-30.00002E-03
-17.73800E-03,+9.16250000E+00,-500.00000E-03,-550.00000E-03,-13.75002E-03
-17.68800E-03,+6.36250000E+00,-425.00000E-03,-312.50000E-03,-60.00002E-03
-17.63800E-03,+875.00000E-03,-187.50000E-03,-387.50000E-03,-108.75002E-03
-17.58800E-03,+7.41250000E+00,-262.50000E-03,-550.00000E-03,-30.00002E-03
-17.53800E-03,+9.38750000E+00,-500.00000E-03,-312.50000E-03,-6.25002E-03
-17.48800E-03,+7.60000000E+00,-500.00000E-03,-312.50000E-03,-13.75002E-03
-17.43800E-03,+3.28750000E+00,-425.00000E-03,-312.50000E-03,-37.50002E-03
-17.38800E-03,+9.93750000E+00,-262.50000E-03,-312.50000E-03,-45.00002E-03
-17.33800E-03,+8.06250000E+00,-500.00000E-03,-312.50000E-03,-53.75002E-03
-17.28800E-03,+3.40000000E+00,-575.00000E-03,-312.50000E-03,-6.25002E-03
-17.23800E-03,+8.26250000E+00,-662.50000E-03,-387.50000E-03,-6.25002E-03
-17.18800E-03,+10.80000000E+00,-262.50000E-03,-550.00000E-03,-6.25002E-03
-17.13800E-03,+8.83750000E+00,-425.00000E-03,-312.50000E-03,-13.75002E-03
-17.08800E-03,+5.25000000E+00,-262.50000E-03,-312.50000E-03,-45.00002E-03
-17.03800E-03,+11.26250000E+00,-500.00000E-03,-312.50000E-03,-46.25002E-03
-16.98800E-03,+9.32500000E+00,-500.00000E-03,-312.50000E-03,+9.99998E-03
